PERC_OPENED,CAMPAIGN_ID,CAMPAIGN_NAME,CLIENT,CLIENT_NAME,CREATED_BY,FROM_EMAIL,FROM_NAME,JOB_ID,LAST_BOUNCED_COUNT,LAST_CLICK_COUNT,LAST_MODIFIED_BY,LAST_OPEN_COUNT,LAST_SYNCED,LAST_UNSUBSCRIBE_COUNT,NUM_BOUNCED,NUM_CLICKS,NUM_FORWARDS,NUM_LIKES,NUM_MENTIONS,NUM_OPENS,NUM_RECIPIENTS,NUM_SPAM_COMPLAINTS,NUM_UNIQUE_OPENS,NUM_UNSUBSCRIBED,OWNER,REPLY_TO,SALESFORCE_CAMPAIGN,SENT_DATE,SUBJECT,TAGS,TOTAL_RECIPIENTS,WEB_VERSION_TEXT_URL,WEB_VERSION_URL,WORLD_VIEW_EMAIL_TRACKING
16.16,CM100113,Campaign 13,Client_13,Client Name 13,user13@midwest.org,user13@midwestfood.org,Team 13,,4,779,user13@midwist.org,,,3,17,436,,1,5,1497,1207,5,758,0,,,,2020-04-07T03:57:59.000Z,Sample Subject 13,,47,http://createsend.com/texturl/13,http://createsend.com/url/13,https://midwestfoodbank.org/email_tracking/13
25.16,CM100129,Campaign 29,Client_29,Client Name 29,user29@midwest.org,user29@midwestfood.org,Team 29,,4,315,user29@midwist.org,,,5,6,524,,14,6,1046,1222,1,823,3,,,,2020-01-18T00:20:12.000Z,Sample Subject 29,,13,http://createsend.com/texturl/29,http://createsend.com/url/29,https://midwestfoodbank.org/email_tracking/29
43.41,CM100145,Campaign 45,Client_45,Client Name 45,user45@midwest.org,user45@midwestfood.org,Team 45,,3,555,user45@midwist.org,,,3,18,376,,10,8,1093,1259,0,305,3,,,,2020-02-21T11:48:55.000Z,Sample Subject 45,,6,http://createsend.com/texturl/45,http://createsend.com/url/45,https://midwestfoodbank.org/email_tracking/45
42.71,CM100161,Campaign 61,Client_61,Client Name 61,user61@midwest.org,user61@midwestfood.org,Team 61,,1,112,user61@midwist.org,,,1,7,400,,14,8,1496,1453,1,345,7,,,,2020-03-24T20:30:58.000Z,Sample Subject 61,,75,http://createsend.com/texturl/61,http://createsend.com/url/61,https://midwestfoodbank.org/email_tracking/61
23.07,CM100177,Campaign 77,Client_77,Client Name 77,user77@midwest.org,user77@midwestfood.org,Team 77,,5,306,user77@midwist.org,,,8,4,343,,3,6,1196,1066,1,496,8,,,,2020-03-01T01:10:42.000Z,Sample Subject 77,,43,http://createsend.com/texturl/77,http://createsend.com/url/77,https://midwestfoodbank.org/email_tracking/77
31.2,CM100193,Campaign 93,Client_93,Client Name 93,user93@midwest.org,user93@midwestfood.org,Team 93,,2,554,user93@midwist.org,,,9,12,340,,18,8,1281,1044,4,535,3,,,,2020-02-02T00:43:13.000Z,Sample Subject 93,,77,http://createsend.com/texturl/93,http://createsend.com/url/93,https://midwestfoodbank.org/email_tracking/93
23.82,CM100110,Campaign 109,Client_109,Client Name 109,user109@midwest.org,user109@midwestfood.org,Team 109,,4,344,user109@midwist.org,,,3,1,433,,5,6,752,1273,2,288,5,,,,2020-03-20T22:34:37.000Z,Sample Subject 109,,1,http://createsend.com/texturl/109,http://createsend.com/url/109,https://midwestfoodbank.org/email_tracking/109
40.73,CM100112,Campaign 125,Client_125,Client Name 125,user125@midwest.org,user125@midwestfood.org,Team 125,,5,233,user125@midwist.org,,,5,12,482,,5,3,1402,1344,2,483,4,,,,2020-01-10T18:21:50.000Z,Sample Subject 125,,16,http://createsend.com/texturl/125,http://createsend.com/url/125,https://midwestfoodbank.org/email_tracking/125
31.71,CM100114,Campaign 141,Client_141,Client Name 141,user141@midwest.org,user141@midwestfood.org,Team 141,,2,462,user141@midwist.org,,,6,20,630,,5,4,601,1077,3,993,5,,,,2020-01-04T16:12:10.000Z,Sample Subject 141,,95,http://createsend.com/texturl/141,http://createsend.com/url/141,https://midwestfoodbank.org/email_tracking/141
16.41,CM100115,Campaign 157,Client_157,Client Name 157,user157@midwest.org,user157@midwestfood.org,Team 157,,2,133,user157@midwist.org,,,7,2,187,,17,2,747,1206,4,524,7,,,,2020-03-02T11:34:21.000Z,Sample Subject 157,,94,http://createsend.com/texturl/157,http://createsend.com/url/157,https://midwestfoodbank.org/email_tracking/157
27.11,CM100118,Campaign 189,Client_189,Client Name 189,user189@midwest.org,user189@midwestfood.org,Team 189,,1,650,user189@midwist.org,,,3,13,308,,1,4,666,1026,4,635,4,,,,2020-02-03T03:17:01.000Z,Sample Subject 189,,60,http://createsend.com/texturl/189,http://createsend.com/url/189,https://midwestfoodbank.org/email_tracking/189
42.16,CM100120,Campaign 205,Client_205,Client Name 205,user205@midwest.org,user205@midwestfood.org,Team 205,,1,209,user205@midwist.org,,,8,20,553,,16,7,635,1379,4,238,4,,,,2020-02-11T13:58:08.000Z,Sample Subject 205,,74,http://createsend.com/texturl/205,http://createsend.com/url/205,https://midwestfoodbank.org/email_tracking/205
10.72,CM100122,Campaign 221,Client_221,Client Name 221,user221@midwest.org,user221@midwestfood.org,Team 221,,5,222,user221@midwist.org,,,1,17,601,,19,8,987,1175,5,951,9,,,,2020-03-23T18:29:17.000Z,Sample Subject 221,,59,http://createsend.com/texturl/221,http://createsend.com/url/221,https://midwestfoodbank.org/email_tracking/221
11.76,CM100123,Campaign 237,Client_237,Client Name 237,user237@midwest.org,user237@midwestfood.org,Team 237,,5,481,user237@midwist.org,,,7,3,377,,10,5,1426,1128,0,601,5,,,,2020-01-27T22:12:03.000Z,Sample Subject 237,,31,http://createsend.com/texturl/237,http://createsend.com/url/237,https://midwestfoodbank.org/email_tracking/237
