ID,ACCOUNT_NAME,ACTIVE_VOLUNTEER,ALTERNATE_EMAIL,BIRTHDATE,CONTACT_RECORD_TYPE,CORE_VOLUNTEER,CORE_VOLUNTEER_2,DATA_QUALITY_DESCRIPTION,DATA_QUALITY_SCORE,DECEASED,DIVISION,DO_NOT_CALL,DO_NOT_CONTACT,DO_NOT_SEND_MAIL,EMAIL,EMAIL_OPT_OUT,EXCL_HH_FORMAL_GREETING,EXCL_HH_INFORMAL_GREETING,EXCL_FROM_HH_NAME,FIRST_GIFT_DATE,FIRST_SOFT_CREDIT_AMOUNT,FIRST_SOFT_CREDIT_DATE,FIRST_VOLUNTEER_DATE,goldenapp__Gender__c,GOLDEN_VOLUNTEER_HOURS_YTD,GROUP_NAME,HOME_ADDRESS,HOME_PHONE,HOUSEHOLD_MAILING_ADDRESS,HOUSEHOLD_PHONE,INITIAL_DATE_WORKED,LARGEST_GIFT,LARGEST_SOFT_CREDIT_AMOUNT,LARGEST_SOFT_CREDIT_DATE,LAST_GIFT_AMOUNT,npo02__LastCloseDate__c,LAST_HOUSEHOLD_GIFT_DATE,LAST_SOFT_CREDIT_AMOUNT,LAST_SOFT_CREDIT_DATE,LAST_VOLUNTEER_DATE,MOBILE_PHONE_TEXT,NAME,SALUTATION,FIRST_NAME,LAST_NAME,MIDDLE_NAME,SUFFIX,NO_EMAIL_REASON,NO_MAIL_REASON,NUMBER_OF_GIFTS_LAST_N_DAYS,NUMBER_OF_GIFTS_LAST_YEAR,NUMBER_OF_GIFTS_THIS_YEAR,NUMBER_OF_GIFTS_TWO_YEARS_AGO,NUMBER_OF_SOFT_CREDITS,NUMBER_OF_SOFT_CREDITS_LAST_N_DAYS,NUMBER_OF_SOFT_CREDITS_LAST_YEAR,NUMBER_OF_SOFT_CREDITS_THIS_YEAR,NUMBER_OF_SOFT_CREDITS_TWO_YEARS_AGO,ORGANIZATION_TYPE,PERSONAL_EMAIL,PHONE,PREFERRED_EMAIL,PREFERRED_PHONE,PRIMARY_ADDRESS_TYPE,PRIMARY_CONTACT,PRIMARY_PHONE,SEND_ME_MORE_ABOUT_MIDWEST_FOOD_BANK,SMALLEST_GIFT,SOFT_CREDIT_LAST_N_DAYS,SOFT_CREDIT_LAST_YEAR,SOFT_CREDIT_THIS_YEAR,SOFT_CREDIT_TOTAL,SOFT_CREDIT_TWO_YEARS_AGO,SUBSCRIPTION_ARIZONA,SUBSCRIPTION_BLOOMINGTON,SUBSCRIPTION_CENTRAL,SUBSCRIPTION_EAST_AFRICA,SUBSCRIPTION_ENEWS,SUBSCRIPTION_FLORIDA,SUBSCRIPTION_GEORGIA,SUBSCRIPTION_HAITI,SUBSCRIPTION_INDIANA,SUBSCRIPTION_MORTON,SUBSCRIPTION_NEW_ENGLAND,SUBSCRIPTION_PENNSYLVANIA,SUBSCRIPTION_PEORIA,SUBSCRIPTION_PRINT_NEWSLETTER,SUBSCRIPTION_TEXAS,npo02__TotalOppAmount__c,TOTAL_GIFTS_LAST_N_DAYS,TOTAL_GIFTS_LAST_YEAR,TOTAL_GIFTS_THIS_YEAR,TOTAL_GIFTS_TWO_YEARS_AGO,TOTAL_HOUSEHOLD_GIFTS,TOTAL_HOUSEHOLD_GIFTS_LAST_YEAR,TOTAL_HOUSEHOLD_GIFTS_THIS_YEAR,TOTAL_NUMBER_OF_GIFTS,UNIQUE_PERSON_ID,VOLUNTEER_HOURS,VOLUNTEER_HOURS_2,VOLUNTEER_HOURS_COMBINED,VOLUNTEER_HOURS_VALUE,VOLUNTEER_HOURS_YTD,VOLUNTEER_HOURS_YTD_2,VOLUNTEER_HOURS_YTD_COMBINED,VOLUNTEERID,WORK_ADDRESS,WORK_EMAIL,WORK_PHONE,WORK_PHONE_TEXT,ZIP_CODE
A0016,Account16,True,alt_user16@example.com,12/15/1977,Golden,False,,All Contact Details Captured,42.4,True,COR,True,True,False,user16@example.com,False,True,True,True,9/23/2013,1213.64,3/27/2013,6/1/2023,Unspecified,,Group_16,"3841 Elm St, Boston, AZ 77488, USA",801-252-3813,"3841 Elm St, Boston, AZ 77488, USA",801-252-3813,11/10/2021,1603.76,0.0,9/2/2020,600.53,1/30/2024,4/28/2018,1767.02,5/30/2023,1/25/2019,655-745-8563,Name_16,,FirstName_16,LastName_16,,,,,6,5,2,5,10,4,3,10,2,Household Account,Individual,701-466-8911,Personal,Home,,True,191-632-5704,False,42,,,,,,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,3425.74,523.67,706.36,460.33,490.23,1946.58,1163.35,1480.5,21.12,user985154@yahoo.com%14446%3672%,20.87,79.64,223.41,191.09,131.97,123.76,70.39,NZQ3ODQ1MT,"4278 Hill St, Chicago, CO 69872, USA",mrxewzjhme@example.com,554-802-5368,785-481-1925,38364
A0032,Account32,False,alt_user32@example.com,4/13/1996,Golden,True,FLF,"Missing: Phone, Email, Job Title, Salutation",5.8,False,ILP,True,False,True,user32@example.com,True,True,False,True,9/25/2024,1020.84,6/3/2012,10/20/2024,Female,18.49,,"4229 Main St, Denver, AZ 94345, USA",403-971-2257,"4229 Main St, Denver, AZ 94345, USA",403-971-2257,3/4/2020,124.72,439.06,11/9/2019,1094.51,1/16/2020,11/1/2023,0.0,12/20/2021,10/14/2018,125-605-2731,Name_32,,FirstName_32,LastName_32,,,,Family Receives Mailing,9,2,7,4,6,0,7,3,9,Household Account,Individual,463-421-9201,Personal,Personal,Work,True,480-612-1558,False,21,,,,,,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,436.59,816.26,1818.57,1146.82,2604.83,823.41,850.33,1589.06,1.43,user751678@yahoo.com%47542%7419%,86.83,117.76,196.37,931.65,127.42,46.32,8.45,NZGYMJI5ND,"8957 Hill St, Phoenix, TX 11211, USA",ivlldboy25@example.com,649-247-2121,780-865-9300,88633
A0048,Account48,True,alt_user48@example.com,9/4/1962,Golden,False,ILM,All Contact Details Captured,16.4,True,ILP,True,False,False,user48@example.com,False,True,False,True,1/12/2021,1980.44,1/20/2025,11/4/2020,Female,26.2,Group_48,"7034 Cedar St, Seattle, CO 98961, USA",538-507-6082,"7034 Cedar St, Seattle, CO 98961, USA",538-507-6082,1/17/2016,624.53,805.52,9/11/2019,245.61,4/27/2021,2/22/2020,336.52,9/27/2021,4/19/2017,853-799-3592,Name_48,,FirstName_48,LastName_48,,,,Address Unknown,4,10,6,10,3,8,7,3,6,Household Account,Individual,571-430-1356,Personal,Personal,Work,True,118-190-6610,False,35,,,,,,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,4310.92,690.55,1104.36,2283.17,32.79,1432.13,1029.91,1013.97,23.15,user498214@yahoo.com%27619%8647%,30.56,48.16,300.79,285.02,139.28,115.11,265.14,NDGYMTM0NZ,"6824 Hill St, Boston, FL 91960, USA",m94lbi8ctv@example.com,365-545-1951,985-816-3478,18403
A0064,Account64,True,alt_user64@example.com,7/24/1969,Golden,True,ILB,"Missing: Phone, Email, Job Title, Salutation",29.5,True,ILM,False,True,True,user64@example.com,True,True,True,True,9/19/2015,201.04,12/3/2014,8/14/2025,Unspecified,1.0,Group_64,"7246 Pine St, Phoenix, CO 27046, USA",989-702-4142,"7246 Pine St, Phoenix, CO 27046, USA",989-702-4142,10/24/2011,1146.04,1336.57,12/16/2022,599.87,2/28/2023,1/15/2022,0.0,4/13/2022,3/17/2023,585-552-6537,Name_64,,FirstName_64,LastName_64,,,,Address Unknown,5,6,7,1,9,1,3,10,7,Household Account,Individual,797-615-3987,Personal,Work,Home,True,293-114-8849,False,30,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,1169.13,808.64,1033.4,605.03,2764.68,1531.34,1363.49,1008.6,78.03,user159469@yahoo.com%40029%5848%,147.42,190.44,195.11,155.89,3.5,15.76,195.2,LTU3MTAZOT,"8056 View St, Chicago, TX 99405, USA",vbqaztlebh@example.com,585-739-5589,857-843-7496,62361
A0080,Account80,False,alt_user80@example.com,9/3/1985,,True,ILB,"Missing: Job Title, Salutation",0.1,True,ILB,False,True,True,user80@example.com,False,True,True,True,5/23/2010,1082.6,1/3/2013,9/2/2025,Unspecified,,Group_80,"6073 Hill St, Orlando, WA 17026, USA",784-862-4795,"6073 Hill St, Orlando, WA 17026, USA",784-862-4795,4/28/2020,855.02,224.3,7/8/2020,100.56,3/12/2023,8/15/2023,1994.59,6/6/2021,11/8/2020,275-677-1324,Name_80,,FirstName_80,LastName_80,,,,,8,1,0,6,4,8,9,5,3,Household Account,Individual,242-819-1250,Personal,Personal,Work,True,274-830-7444,True,38,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3495.24,658.07,370.61,2131.37,1362.24,2006.8,753.42,1838.98,92.1,user111681@yahoo.com%14712%3018%,26.67,118.63,368.09,537.78,88.72,106.31,12.33,LTC3ODA3MD,"1125 View St, Chicago, WA 61709, USA",f0mqivdllg@example.com,357-490-2163,776-414-2825,15967
A0096,Account96,False,alt_user96@example.com,3/26/1966,,False,ILM,"Missing: Phone, Email, Job Title, Salutation",22.2,True,INI,True,True,True,user96@example.com,True,True,True,False,3/2/2017,1181.05,11/14/2014,1/25/2023,Unspecified,11.2,Group_96,"791 Elm St, , AZ 65028, USA",713-995-3175,"791 Elm St, , AZ 65028, USA",713-995-3175,3/2/2019,1875.49,0.0,12/15/2019,782.63,6/24/2022,3/31/2018,0.29,,2/25/2023,998-286-1877,Name_96,,FirstName_96,LastName_96,,,No Email Requested,Family Receives Mailing,9,8,9,9,10,9,10,8,6,Household Account,Individual,760-190-1015,Personal,Home,Work,False,334-419-1281,False,22,,,,,,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,4546.09,342.64,356.39,332.48,2021.99,1770.71,121.56,1390.76,78.09,user812959@yahoo.com%48717%2447%,32.15,71.82,301.64,733.76,33.65,35.83,202.0,LTIXMZCWOD,"6653 Maple St, Denver, WA 79481, USA",i8aclbvd2v@example.com,260-412-2057,381-425-6803,31549
A0112,Account112,True,alt_user112@example.com,9/12/1998,,True,ILB,"Missing: Phone, Job Title, Salutation",17.1,False,ILB,True,True,True,user112@example.com,True,False,False,True,5/26/2011,1952.07,8/19/2021,6/22/2021,Female,23.22,Group_112,"5444 Oak St, Boston, WA 65606, USA",739-404-4695,"5444 Oak St, Boston, WA 65606, USA",739-404-4695,2/18/2021,0.0,1436.1,10/10/2021,1344.37,1/19/2020,4/22/2020,1493.48,3/8/2019,5/8/2020,479-385-9544,Name_112,,FirstName_112,LastName_112,,,,,9,7,10,5,6,4,4,2,0,Household Account,Individual,949-765-4196,Personal,Work,Home,True,735-948-4749,False,39,,,,,,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,1322.94,543.62,1430.9,2899.25,1794.5,2649.07,1136.03,1488.81,19.22,user999339@yahoo.com%88142%2023%,142.96,88.3,358.57,385.0,51.12,6.2,86.0,LTK3NZA5MT,"3707 Pine St, Phoenix, CO 22617, USA",kpyfh3l0hm@example.com,780-231-3250,432-684-7972,87890
A0128,Account128,True,alt_user128@example.com,9/5/1972,Golden,True,COR,,17.1,True,ILB,True,True,True,user128@example.com,True,False,True,True,4/11/2022,950.29,1/14/2023,10/14/2025,Male,43.47,Group_128,"4097 Elm St, , IL 81608, USA",189-767-9870,"4097 Elm St, , IL 81608, USA",189-767-9870,5/21/2013,870.43,1036.37,5/13/2022,1364.82,9/25/2021,11/18/2020,348.16,3/20/2019,12/12/2023,190-817-9185,Name_128,,FirstName_128,LastName_128,,,,,10,10,6,7,2,5,7,10,6,Household Account,Individual,482-178-9994,Personal,Work,Home,True,541-981-3344,False,27,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1342.88,380.49,432.46,2599.17,1624.54,3926.3,752.7,1364.74,6.77,user888034@yahoo.com%36561%5807%,173.6,2.91,399.14,224.31,57.17,12.07,192.17,MZQ4ODGXMD,"591 Cedar St, Phoenix, AZ 10882, USA",yqruphjc7w@example.com,443-380-2077,200-285-3613,75875
A0144,Account144,True,alt_user144@example.com,7/13/1960,Golden,True,COR,,27.7,True,NFC,False,True,True,user144@example.com,False,True,True,True,2/8/2020,721.36,4/27/2018,2/9/2022,Male,,Group_144,"2654 Main St, , FL 17861, USA",711-644-1836,"2654 Main St, , FL 17861, USA",711-644-1836,9/10/2013,623.24,0.0,12/21/2017,889.69,10/3/2023,7/19/2022,960.32,,2/10/2020,729-191-6622,Name_144,,FirstName_144,LastName_144,,,,,0,7,6,2,10,5,2,5,6,Household Account,Individual,958-645-4187,Personal,Home,Work,True,883-824-9847,False,1,,,,,,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,2623.73,787.96,198.85,712.34,2483.79,984.63,1333.56,728.64,54.75,user717254@yahoo.com%51291%6632%,66.2,159.16,125.27,602.75,21.93,117.01,285.58,LTEZMZEXMD,"8952 Main St, , AZ 60666, USA",gp3yil1iiy@example.com,570-452-3690,125-528-1634,99977
A0160,Account160,True,alt_user160@example.com,5/6/2003,Golden,True,ILB,All Contact Details Captured,59.0,True,TXD,False,True,False,user160@example.com,True,True,False,False,1/19/2017,1008.86,10/27/2024,9/24/2025,Male,30.16,Group_160,"561 Lake St, , FL 43741, USA",725-682-1157,"561 Lake St, , FL 43741, USA",725-682-1157,7/16/2021,613.42,1927.44,9/29/2022,121.08,3/16/2022,5/9/2023,1191.41,11/1/2019,3/25/2018,340-899-2946,Name_160,,FirstName_160,LastName_160,,,,,4,5,9,2,0,6,4,2,4,Household Account,Individual,427-129-8486,Personal,Home,Home,True,304-118-5716,False,21,,,,,,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,1952.95,885.31,638.57,1783.7,301.17,1600.78,325.56,451.84,79.57,user456948@yahoo.com%73464%3986%,126.06,0.75,192.18,901.03,6.83,43.75,92.36,ODU1MZAWNZ,"8976 Oak St, , MA 50549, USA",20gyjnwgzr@example.com,476-536-3531,248-793-2501,43865
