wbsendit__Activity__c,ACTIVITY_DATE,ACTIVITY_REPORT,BOUNCE_REASON,Name,wbsendit__Campaign_ID__c,CITY,COMPOUND_KEY,wbsendit__Contact__c,COUNTRY_CODE,COUNTRY_NAME,CREATED_BY,EMAIL_ADDRESS,IP_ADDRESS,LAST_MODIFIED_BY,LEAD,LOCATION,OWNER,REGION,URL_CLICKED
,2020-04-18T11:13:40.000Z,,,Campaign 14,CM100114,Phoenix,CM100114 user14@example.org 2025-04-17 14:05:19.397,A0014,US,United States,,user14@example.org,,,,,,Texas,http://mfbhope24.givesmart.com/14
Opened,2020-01-30T05:32:44.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100130&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 30,CM100130,New York,CM100130 user30@example.org 2025-04-17 14:05:19.397,A0030,US,United States,,user30@example.org,,,,,,New York,http://mfbhope24.givesmart.com/30
,2020-03-03T17:25:54.000Z,,,Campaign 46,CM100146,Los Angeles,CM100146 user46@example.org 2025-04-17 14:05:19.397,A0046,US,United States,,user46@example.org,,,,,,California,http://mfbhope24.givesmart.com/46
Bounced,2020-01-02T01:22:00.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100162&wbsendit_reportId=Bounced"" target=""_self"">Bounced</a>",,Campaign 62,CM100162,Chicago,CM100162 user62@example.org 2025-04-17 14:05:19.397,A0062,US,United States,,user62@example.org,,,,,,Illinois,http://mfbhope24.givesmart.com/62
,2020-03-09T15:15:25.000Z,,,Campaign 78,CM100178,,CM100178 user78@example.org 2025-04-17 14:05:19.397,A0078,US,United States,,user78@example.org,,,,,,New York,http://mfbhope24.givesmart.com/78
Unsubscribed,2020-03-28T18:16:57.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100194&wbsendit_reportId=Unsubscribed"" target=""_self"">Unsubscribed</a>",,Campaign 94,CM100194,New York,CM100194 user94@example.org 2025-04-17 14:05:19.397,A0094,US,United States,,user94@example.org,,,,,,Illinois,http://mfbhope24.givesmart.com/94
,2020-02-12T16:34:16.000Z,,,Campaign 110,CM100111,Phoenix,CM100111 user110@example.org 2025-04-17 14:05:19.397,A0110,US,United States,,user110@example.org,,,,,,,http://mfbhope24.givesmart.com/110
Opened,2020-03-17T16:30:48.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100112&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 126,CM100112,,CM100112 user126@example.org 2025-04-17 14:05:19.397,A0126,US,United States,,user126@example.org,,,,,,Texas,http://mfbhope24.givesmart.com/126
Opened,2020-01-19T08:18:37.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100114&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 142,CM100114,,CM100114 user142@example.org 2025-04-17 14:05:19.397,A0142,US,United States,,user142@example.org,,,,,,California,http://mfbhope24.givesmart.com/142
Unsubscribed,2020-03-27T19:48:08.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100115&wbsendit_reportId=Unsubscribed"" target=""_self"">Unsubscribed</a>",,Campaign 158,CM100115,Los Angeles,CM100115 user158@example.org 2025-04-17 14:05:19.397,A0158,US,United States,,user158@example.org,,,,,,New York,http://mfbhope24.givesmart.com/158
Unsubscribed,2020-01-24T21:51:44.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100119&wbsendit_reportId=Unsubscribed"" target=""_self"">Unsubscribed</a>",,Campaign 190,CM100119,,CM100119 user190@example.org 2025-04-17 14:05:19.397,A0190,US,United States,,user190@example.org,,,,,,,http://mfbhope24.givesmart.com/190
Opened,2020-01-06T18:20:24.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100120&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 206,CM100120,,CM100120 user206@example.org 2025-04-17 14:05:19.397,A0206,US,United States,,user206@example.org,,,,,,California,http://mfbhope24.givesmart.com/206
Clicked,2020-01-13T23:17:46.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100122&wbsendit_reportId=Clicked"" target=""_self"">Clicked</a>",,Campaign 222,CM100122,Phoenix,CM100122 user222@example.org 2025-04-17 14:05:19.397,A0222,US,United States,,user222@example.org,,,,,,Illinois,http://mfbhope24.givesmart.com/222
Bounced,2020-02-22T03:23:56.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100128&wbsendit_reportId=Bounced"" target=""_self"">Bounced</a>",,Campaign 286,CM100128,Houston,CM100128 user286@example.org 2025-04-17 14:05:19.397,A0286,US,United States,,user286@example.org,,,,,,Texas,http://mfbhope24.givesmart.com/286
Unsubscribed,2020-04-07T10:25:39.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100130&wbsendit_reportId=Unsubscribed"" target=""_self"">Unsubscribed</a>",,Campaign 302,CM100130,New York,CM100130 user302@example.org 2025-04-17 14:05:19.397,A0302,US,United States,,user302@example.org,,,,,,,http://mfbhope24.givesmart.com/302
Opened,2020-02-20T10:13:00.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100131&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 318,CM100131,New York,CM100131 user318@example.org 2025-04-17 14:05:19.397,A0318,US,United States,,user318@example.org,,,,,,New York,http://mfbhope24.givesmart.com/318
Opened,2020-04-11T22:54:26.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100133&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 334,CM100133,,CM100133 user334@example.org 2025-04-17 14:05:19.397,A0334,US,United States,,user334@example.org,,,,,,Texas,http://mfbhope24.givesmart.com/334
Clicked,2020-01-26T15:20:36.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100136&wbsendit_reportId=Clicked"" target=""_self"">Clicked</a>",,Campaign 366,CM100136,Los Angeles,CM100136 user366@example.org 2025-04-17 14:05:19.397,A0366,US,United States,,user366@example.org,,,,,,California,http://mfbhope24.givesmart.com/366
Opened,2020-02-08T22:48:57.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100139&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 398,CM100139,New York,CM100139 user398@example.org 2025-04-17 14:05:19.397,A0398,US,United States,,user398@example.org,,,,,,Florida,http://mfbhope24.givesmart.com/398
Opened,2020-03-28T09:35:53.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100144&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 446,CM100144,New York,CM100144 user446@example.org 2025-04-17 14:05:19.397,A0446,US,United States,,user446@example.org,,,,,,New York,http://mfbhope24.givesmart.com/446
Opened,2020-01-13T14:15:26.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100146&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 462,CM100146,New York,CM100146 user462@example.org 2025-04-17 14:05:19.397,A0462,US,United States,,user462@example.org,,,,,,Texas,http://mfbhope24.givesmart.com/462
Opened,2020-01-25T09:53:40.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100147&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 478,CM100147,Phoenix,CM100147 user478@example.org 2025-04-17 14:05:19.397,A0478,US,United States,,user478@example.org,,,,,,New York,http://mfbhope24.givesmart.com/478
,2020-03-02T20:41:22.000Z,,,Campaign 494,CM100149,Houston,CM100149 user494@example.org 2025-04-17 14:05:19.397,A0494,US,United States,,user494@example.org,,,,,,Illinois,http://mfbhope24.givesmart.com/494
Unsubscribed,2020-02-24T22:07:12.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100154&wbsendit_reportId=Unsubscribed"" target=""_self"">Unsubscribed</a>",,Campaign 542,CM100154,Chicago,CM100154 user542@example.org 2025-04-17 14:05:19.397,A0542,US,United States,,user542@example.org,,,,,,New York,http://mfbhope24.givesmart.com/542
Clicked,2020-04-18T12:40:16.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100159&wbsendit_reportId=Clicked"" target=""_self"">Clicked</a>",,Campaign 590,CM100159,Los Angeles,CM100159 user590@example.org 2025-04-17 14:05:19.397,A0590,US,United States,,user590@example.org,,,,,,California,http://mfbhope24.givesmart.com/590
Opened,2020-03-17T13:15:04.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100162&wbsendit_reportId=Opened"" target=""_self"">Opened</a>",,Campaign 622,CM100162,New York,CM100162 user622@example.org 2025-04-17 14:05:19.397,A0622,US,United States,,user622@example.org,,,,,,Illinois,http://mfbhope24.givesmart.com/622
Unsubscribed,2020-01-13T08:15:24.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100165&wbsendit_reportId=Unsubscribed"" target=""_self"">Unsubscribed</a>",,Campaign 654,CM100165,,CM100165 user654@example.org 2025-04-17 14:05:19.397,A0654,US,United States,,user654@example.org,,,,,,Florida,http://mfbhope24.givesmart.com/654
Unsubscribed,2020-02-17T11:06:46.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100167&wbsendit_reportId=Unsubscribed"" target=""_self"">Unsubscribed</a>",,Campaign 670,CM100167,Houston,CM100167 user670@example.org 2025-04-17 14:05:19.397,A0670,US,United States,,user670@example.org,,,,,,Florida,http://mfbhope24.givesmart.com/670
,2020-01-07T03:06:42.000Z,,,Campaign 686,CM100168,Los Angeles,CM100168 user686@example.org 2025-04-17 14:05:19.397,A0686,US,United States,,user686@example.org,,,,,,California,http://mfbhope24.givesmart.com/686
,2020-03-16T03:34:59.000Z,,,Campaign 814,CM100181,Chicago,CM100181 user814@example.org 2025-04-17 14:05:19.397,A0814,US,United States,,user814@example.org,,,,,,California,http://mfbhope24.givesmart.com/814
Bounced,2020-02-07T15:15:35.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100100&wbsendit_reportId=Bounced"" target=""_self"">Bounced</a>",,Campaign 0,CM100100,Chicago,CM100100 user0@example.org 2025-04-17 14:05:19.397,A0000,US,United States,,user0@example.org,,,,,,,http://mfbhope24.givesmart.com/0
Clicked,2020-01-21T16:46:05.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100116&wbsendit_reportId=Clicked"" target=""_self"">Clicked</a>",,Campaign 16,CM100116,Los Angeles,CM100116 user16@example.org 2025-04-17 14:05:19.397,A0016,US,United States,,user16@example.org,,,,,,Florida,http://mfbhope24.givesmart.com/16
Clicked,2020-03-07T11:01:10.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100116&wbsendit_reportId=Clicked"" target=""_self"">Clicked</a>",,Campaign 160,CM100116,Los Angeles,CM100116 user160@example.org 2025-04-17 14:05:19.397,A0160,US,United States,,user160@example.org,,,,,,California,http://mfbhope24.givesmart.com/160
Bounced,2020-02-26T07:01:44.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100117&wbsendit_reportId=Bounced"" target=""_self"">Bounced</a>",,Campaign 176,CM100117,,CM100117 user176@example.org 2025-04-17 14:05:19.397,A0176,US,United States,,user176@example.org,,,,,,,http://mfbhope24.givesmart.com/176
Bounced,2020-03-22T20:35:25.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100132&wbsendit_reportId=Bounced"" target=""_self"">Bounced</a>",,Campaign 320,CM100132,,CM100132 user320@example.org 2025-04-17 14:05:19.397,A0320,US,United States,,user320@example.org,,,,,,Texas,http://mfbhope24.givesmart.com/320
,2020-03-12T11:22:01.000Z,,,Campaign 384,CM100138,New York,CM100138 user384@example.org 2025-04-17 14:05:19.397,A0384,US,United States,,user384@example.org,,,,,,New York,http://mfbhope24.givesmart.com/384
Clicked,2020-02-14T08:15:31.000Z,"/apex/wbsendit_SendItReports?wbsenditcampaignId=CM100144&wbsendit_reportId=Clicked"" target=""_self"">Clicked</a>",,Campaign 448,CM100144,Houston,CM100144 user448@example.org 2025-04-17 14:05:19.397,A0448,US,United States,,user448@example.org,,,,,,Texas,http://mfbhope24.givesmart.com/448
